id,name,description,theme,resolution,format,provider,reference,reference_detail,latest_year,update_frequency,url
11,JDA BASE MAP,"Contains the base map of JDA region, Jaipur",Administrative Context,Region,Printed map,JDA,JDA (2009) Key Maps,N/A,2019,N/A,https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html
12,WALLED CITY JAIPUR,Contains the map of Wall City Jaipur,Administrative Context,Region,Printed map,JDA,JDA (1987) Key Maps,N/A,2019,N/A,https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html
13,NAGAR NIGAM JAIPUR GREATER MAP,Contains the Nagar Nigam Jaipur Greater Map,Administrative Context,Region,Printed map,JDA,JDA (2011) Key Maps,N/A,2019,N/A,https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html
14,NAGAR NIGAM JAIPUR HERITAGE MAP,Contains the Nagar Nigam Jaipur Heritage Map,Administrative Context,Region,Printed map,JDA,JDA (2011) Key Maps,N/A,2019,N/A,https://jda.rajasthan.gov.in/content/raj/udh/jda---jaipur/en/town-planning/key-maps.html
15,ADMINISTRATIVE SETUP JAIPUR,"contains the Name of Panchayat samiti , No. of Gram Panchayat, No. of Villages , Tehsil(s) or (No. of Villages) , and Census Towns
",Administrative Context,District,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",pg. 12,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf
16,CADASTAL MAP,Boundary for individual plots based on ownership. ,Administrative Context,State,Printed map,"Bhunaksha, rajasthan",Bhunaksha,N/A,2024,N/A,https://bhunaksha.rajasthan.gov.in/
17,ADMINISTRATIVE BOUNDARY DATABASE,"contains georeferenced Administrative Boundary Database with Entire country Upto Taluk level with HQ, Entire country Upto Distt. level with HQ, State Upto Taluk level with HQ, State Upto Distt. level with HQ  Scale of 1:1M",Administrative Context,Cd block / town,Shapefile,Survey of india,Survey of India (2024) Online Maps Portal,N/A,2023,N/A,https://onlinemaps.surveyofindia.gov.in/Digital_Product_Show.aspx
19,MAJOR SETTLEMENTS WITHIN THE JAIPUR REGION,"This dataset provides satellite towns located under JDA region, their classification and population based on Census 2001.",Demographic Profile,Region,Printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1","Table 3-2, pg. 133",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
20,GROSS DENSITY WITHIN WARDS OF JAIPUR REGION- CENSUS 2001,This dataset provides gross density within wards of Jaipur Region for 2001.,Demographic Profile,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 4-5, pg.219",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
21,EXISTING GROSS DENSITY WITHIN WARDS OF JAIPUR REGION (2011*),This datset provides gross density within wards of Jaipur for 2011. ,Demographic Profile,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 4-6, pg. 219",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
22,PAST TRENDS OF POPULATION IN JAIPUR REGION,This dataset shows the Past Trends of Population in JMC and Satellite Towns,Demographic Profile,City,Printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Table 6-3, pg 6-6",2011,N/A,Document not yet published
23,DECADAL GROWTH RATE IN JAIPUR REGION,This dataset shows the decadal population growth rate in JMC and Sattelite towns,Demographic Profile,City,Printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Table 6-5 pg 6-7,2011,N/A,Document not yet published
24,AGE-WISE POPULATION AND SEX DISTRIBUTION,"contains age groups,male and female distribution",Demographic Profile,District,Printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1","Table 2-9, pg.56",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
25,DECADAL SEX RATIO OF JAIPUR DISTRICT,contains sex ratio of Jaipur district(1961-2001),Demographic Profile,District,Printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1","Table 2-10, pg. 56",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
26,REGISTERED VOTERS,"contains jaipur city zone name, wardname, ward no., Total no. of registered voters, No. of votes polled in the last municipal election, No. of Polling Stations / booths",Demographic Profile,Ward,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","Ministry of housing and urban affairs,smart city data catalogue",N/A,2019,N/A,https://smartcities.data.gov.in/catalog/registered-voters-jaipur
28,POPULATION AND HOUSEHOLDS,"contains jaipur city zone name, wardname, ward no., Area (in sq km), Total Population (in thousands)",Demographic Profile,Ward,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","Ministry of housing and urban affairs,smart city data catalogue",N/A,2011,N/A,https://smartcities.data.gov.in/catalog/demographic-profile-jaipur
29,DEMOGRAPHIC AND SOCIO-ECONOMIC DISTRICT PROFILE,"contains the summary of the census of jaipur district like Number of Villages,Number of Towns ,  Number of Households, Population , Percentage Urban Population, Decadal Population Growth 2001-2011 , Area (in sq Km.), Density of Population (Persons per sq Km.), Sex Ratio , Literates , Scheduled Castes, Scheduled Tribes, Workers and Non-Workers, and Category of Workers (Main & Marginal), ",Demographic Profile,District,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",pg. 14-15,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf
30,SOCIO-ECONOMIC CHARACTERISTICS,"contains the Location code number, District/ CD Block/Town, Total/Rural/Urban, Area in Square Kilometre, Number of households, Total population (including institutional and houseless population in persons,male,female), Population in the age-group 0-6, Scheduled Castes population, Scheduled Tribes population,and Literates",Demographic Profile,Cd block / town,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur","pg. 24-25, pg. 30-31",2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf
31,SOCIO-ECONOMIC CHARACTERISTICS- INDUSTRIAL CATEGORY OF MAIN WORKERS,"contains the Location code number, District/ CD Block/Town, Total/Rural/Urban for Total workers (Persons, Males, Females), Main worker(Persons, Males, Females), Cultivators, Agricultural labourers, Household industry workers, Other workers",Demographic Profile,Cd block / town,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur","pg. 26-27, pg. 32-33",2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf
32,SOCIO-ECONOMIC CHARACTERISTICS- INDUSTRIAL CATEGORY OF MARGINAL WORKERS,"contains the Location code number, District/ CD Block/Town, Total/Rural/Urban for Marginal workers(Persons, Males, Females), Cultivators, Agricultural labourers, Household industry workers, Other workers, and Non-workers.",Demographic Profile,Cd block / town,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur","pg. 28-29, pg. 34-35",2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf
33,TOTAL SC AND ST POPULATION - URBAN BLOCK WISE,"contains the Location Code, Name of Town, Name of Ward, Boundaries of Urban Block /EB Number, Total Population, Scheduled Castes Population, Scheduled Tribes Population",Demographic Profile,District,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",pg. 38-189,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf
63,URBAN PCA-WARD WISE DATA,"contains the Location code number, Name of Town/ward, Area in Km,Number of households, Total population (including institutional and houseless population), Population in the age-group 0-6, Literates,SC population, ST population, literates",Demographic Profile,District,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",pg.540-551,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf
64,"DECADAL CHANGE IN POPULATION OF TAHSILS BY RESIDENCE, 2001-2011","contains the Tahsil, Population (2001 and 2011), Percentage decadal variation 2001-2011,  Percentage urban population",Demographic Profile,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T01_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
68,SEX RATIO,"contains the Sex ratio of towns, 2011",Demographic Profile,Cd block / town,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T08_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
71,SEX RATIO OF AGES 0-6,"contains the Sex ratio of  population in the age group 0-6 of towns, 2011",Demographic Profile,Cd block / town,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T12_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
72,"NUMBER AND PERCENTAGE OF SCHEDULED CASTES AND SCHEDULED TRIBES POPULATION IN SUB-DISTRICTS, 2011","contains the Name of Sub-District, Total/ Rural/ Urban, Total population, Total scheduled castes population, Total scheduled tribes population, Percentage of scheduled castes population to total population, Percentage of scheduled tribes population to total population",Demographic Profile,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T13_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
73,"NUMBER AND PERCENTAGE OF SCHEDULED CASTES AND SCHEDULED TRIBES POPULATION IN TOWNS, 2011","contains the Name of town, Total Population, Total scheduled castes population, Total scheduled tribes population, Percentage of scheduled castes population to total population, Percentage of scheduled tribes population to total population",Demographic Profile,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T17_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
74,SEX RATIO AMONG SCHEDULED CASTES AND TRIBES,"contains the Name of town, Scheduled castes sex ratio, Scheduled tribes sex ratio",Demographic Profile,Cd block / town,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T19_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
77,"LITERACY, TOTAL AND BY SEX OR SCHEDULED CASTE","contains the Name  of town, Number of literates and illiterates, Literacy rate and Gap in male-female literacy rate ",Demographic Profile,Cd block / town,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T23_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
84,"MAIN, MARGINAL AND NON-WORKERS BY SEX","contains the Name of  town, Persons/ Males/ Females, Total population, Main workers, Marginal workers and Non workers (Number & Percentage)",Demographic Profile,Cd block / town,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T32_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
87,ECONOMIC ACTIVITY BY SEX,"contains the Name of town, Persons/ Males/ Females, Total population, Total workers (main + marginal workers), Category of workers: Cultivators, Agricultural labourers, Household industry workers, Other workers in Number & Percentage",Demographic Profile,Cd block / town,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T35_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
88,"SCHOOLS/ COLLEGES PER 10,000 POPULATION IN TOWNS, 2011","contains the Name of the town, Type of educational institution (Approx. numbers) of Primary, Middle, Secondary / matriculation, Senior secondary, and College",Demographic Profile,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T42_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
89,"PROPORTION OF SLUM POPULATION IN TOWNS, 2011","contains the Name of the town having slum, Total population , Slum population, Percentage of slum population to total population",Demographic Profile,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",T44_0812,2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
90,STATUS AND GROWTH HISTORY OF TOWNS IN JAIPUR,"contains the Class, name and civic status of town, Location Code No., Name of Taluk/ Tahsil/ Police Station/Islands etc., Name of CD block, Area(sq. Km.), Number of households including houseless households (2011 Census), Scheduled Castes Population (2011 Census), Scheduled Tribes Population (2011 Census), Status and Growth History(1901-2011), Density        (2011 Census) and Sex ratio",Demographic Profile,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",Town Statement-I_0812,2009,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
93,OCCUPATIONAL STRUCTURE,"contains  Derived occupational structure from Primary Census Abstract, Census of India, 2001",Economy,District,Printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1","Table 2-12, pg.59",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
94,WORKERS PROFILE,"contains Work Force Participation Rate, Jaipur District, 2001",Economy,District,Printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1","Table 2-13, Table 2-14, Table 2-15, pg.60-61",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
95,MARKET ECONOMIES,contains Annual Income (Rs. in lacs) Main Market /Sub Market from 1999-2000 to 2006-07- Jaipur region,Economy,Region,Printed table,"Office, Krishi Upaj Mandi, Jaipur.","JDA (2011) Master Development Plan 2025, vol1","Table 3-10, pg.148",2007,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
96,SOCIO-ECONOMIC POTENTIAL,"A socio economic potential map has been arrived at based upon the economic and facility & service potential in the villages. 
",Economy,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1",Map 2-17 (pg. 69),2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
97,PROPOSED TOURISM CIRCUITS IN THE JAIPUR DISTRICT,This dataset contains proposed tourism circuits in Jaipur District ,Economy,District,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 2-36 , pg. 112",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
98,INDUSTRIAL AREAS OF RIICO IN JAIPUR REGION,Map indicating RIICO industrial zones in Jaipur Region.,Economy,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-4, pg. 143",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
99,TOURIST ARRIVALS,Location-wise Tourist Arrival Statistics (in million),Economy,Region,Printed table,"Office of statistics, Department of Tourism, Rajasthan","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Table 2-11, p.g 2-25",2016,N/A,Document not yet published
100,"PHYSICAL ASPECTS AND LOCATION OF TOWNS, 2009","contains the Name of town, Physical aspects(Rainfall & Temperature), Name of and road distance (in kms.) from (State HQ, District HQ, Sub-Division/ Taluk/ Tahsil / Police station/ Development  Block/ Island HQ, Nearest city with population of one lakh and more, Nearest city with population of five lakh and more) Railway station and Bus route",Environment,District,Xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur",Town Statement-II_0812,2009,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip
101,AIR QUALITY INDEX (CAAQMS),"This dataset provides the Levels of PM2.5, PM10, NO2, CO, O3",Environment,Discrete locations,Xls/xlsx,RSPCB,Rajasthan State Pollution Control Board (2024),N/A,2020,Every Year,https://environment.rajasthan.gov.in/content/environment/en/rajasthan-state-pollution-control-board/EnvironmentalReport/DownloadableAirQualityIndexCAAQMS.html
102,NOISE QUALITY BULLETIN OF RAJASTHAN STATE,This dataset provides the Decibel levels in different zones,Environment,Discrete locations,Printed table,RSPCB,Rajasthan State Pollution Control Board (2024),N/A,2024,Every Month,https://environment.rajasthan.gov.in/content/environment/en/rajasthan-state-pollution-control-board/NoiseQualityBulletin.html
103,AIR QUALITY (CPCB),"This dataset provides PM2.5,PM10,NO,NO2,NOx, NH3,SO2, CO, Ozone,Benzene, Toluene, Xylene, O Xylene, Eth-Benzene, MP-Xylene, AT, RH,WS,WD,RF,TOT-RF, SR,BP, VWS for 1day,8hours, 1 hour and 15min time stamps",Environment,Discrete locations,Csv,CPCB,Cental Pollution Control Board (2024) Central Control Room for Air Quality Management,N/A,2023,Every 15 min,https://airquality.cpcb.gov.in/ccr/#/caaqm-dashboard-all/caaqm-landing/caaqm-data-repository
104,NATURAL LANDSCAPE JAIPUR,"This catalog contains area of natural features like lake,forest,ecologically sensitve area of JDA region",Environment,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2019,N/A,https://smartcities.data.gov.in/catalog/natural-landscape-jaipur
105,CLIMATE OUTLOOK OF JAIPUR CITY,This dataset provides the Climatic details like Temperature and Rainfall statistics of Jaipur City.,Environment,Region,Printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1","Table 3-25, pg.191",2011,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
106,OPEN SERIES MAP (SCALE: 1:50000),contains open series map image in Scale: 1:50000 based on sheet no. (not georeferenced),Environment,Spatial grid,Printed map,Survey of india,Survey of India (2024) Online Maps Portal,N/A,2011,N/A,https://onlinemaps.surveyofindia.gov.in/FreeMapSpecification.aspx
107,INTERMEDIATE PUBLIC TRANSPORT FACILITIES,This dataset shows the Issues with IPT Facilities,Intermediate Public Transport,Region,Chart,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 3-14 pg 3-52,2018,N/A,Document not yet published
108,LAND UTILIZATION OF JAIPUR DISTRICT,This dataset provides the land utilization of different landuse for Jaipur District,Land Use,District,Printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1","Table 2-5, Chart 2-1, pg.48",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
109,BASE MAP,"This dataset provides information about Region Boundary, Contour, Railways, National Highway, State Highway, City Road-Major, City Road-Minor, Unmetalled roads, River Course/Nallah/Waterbody, Walled City",Land Use,Region,Vector map,JDA,"JDA (2011) Master Development Plan 2025, website",Mapbook 1,2009,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook1.pdf
110,GENERALISED EXISTING LAND USE MAP,This dataset provides the generalised existing land use for Jaipur U1 Area.,Land Use,Region,Vector map,JDA,"JDA (2011) Master Development Plan 2025, website",Mapbook 2,2009,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook2.pdf
111,LAND UTILIZATION MAP,This dataset provides the Land Utilization of Jaipur Region,Land Use,Region,Vector map,JDA,"JDA (2011) Master Development Plan 2025, website",Mapbook 3,2009,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook3.pdf
112,LAND USE PLAN,This dataset provides the proposed land use plan 2025 for Jaipur U1 Area.,Land Use,Region,Vector map,JDA,"JDA (2011) Master Development Plan 2025, website",Mapbook 4,2025,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook4.pdf
113,NO. OF HOUSEHOLDS HAVING BICYCLE,This data contains no. and % of households having bicycle.,Private Vehicles,District,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur","Table -9, pg-569",2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069
114,NO. OF HOUSEHOLDS HAVING SCOOTER/MOTORCYCLE/MOPED,This data contains no. and % of households havingScooter/Motorcycle/Moped.,Private Vehicles,District,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur","Table -9, pg-569",2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069
115,NO. OF HOUSEHOLDS HAVING CAR/JEEP/VAN,This data contains no. and % of households having Car/Jeep/Van.,Private Vehicles,District,Printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur","Table -9, pg-569",2011,N/A,https://censusindia.gov.in/nada/index.php/catalog/1069
116,VEHICLE REGISTRATIONS DATA JAIPUR,"This catalog contains the city name, the no. of registrations of buses, four-wheelers, two-wheelers, Goods Carrier Vehicles, Light Motor Vehicles, and miscellaneous others",Private Vehicles,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/vehicle-registrations-data-jaipur
117,VEHICLE OWNERSHIP INFORMATION,This dataset shows Details of Vehicle Ownership in JMC and JDA,Private Vehicles,City,Chart,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 3-8 pg 3-34,2018,N/A,Document not yet published
