id,title,description,keywords,sector,group,jurisdiction,frequency,granularity__spatial,granularity__temporal,date__earliest,date__latest,access_type,format,provider,reference,url,access_method
23,Decadal Growth Rate In Jaipur Region,Decadal population growth rate in JMC and Sattelite towns,"Decadal Growth Rate, Population, JMC, Satellite Towns",Demographic Profile,L&T Infra Engineering Transport Study,JMC+Satellite towns,unknown,city,one-time,1991,2011,private,printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Table 6-5 pg 6-7",Document not yet published,Not currently available
25,Decadal Sex Ratio Of Jaipur District,Sex ratio of Jaipur district(1961-2001),"sex ratio, Jaipur district",Demographic Profile,,Jaipur District,unknown,district,one-time,1961,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-10, pg. 56",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
29,Demographic and Socio-Economic District Profile,"Summary of the census of jaipur district like Number of Villages,Number of Towns ,  Number of Households, Population , Percentage Urban Population, Decadal Population Growth 2001-2011 , Area (in sq Km.), Density of Population (Persons per sq Km.), Sex Ratio , Literates , Scheduled Castes, Scheduled Tribes, Workers and Non-Workers, and Category of Workers (Main & Marginal), ","Census data, Population Statistics, Urban and Rural Distribution, Demographic Information, Socio-Economic Indicators",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 14-15",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
87,Economic activity by sex,"Name of town, Persons/ Males/ Females, Total population, Total workers (main + marginal workers), Category of workers: Cultivators, Agricultural labourers, Household industry workers, Other workers in Number & Percentage","economic activity, gender, sex",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T35_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
21,Existing Gross Density Within Wards Of Jaipur Region (2011*),Gross density within wards of Jaipur for 2011. ,"Gross Density, Wards, Jaipur 2011",Demographic Profile,master plan map,Jaipur Municipal Corporation Greater (2019),unknown,region,one-time,,2011,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 4-6, pg. 219",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
20,Gross Density Within Wards Of Jaipur Region- Census 2001,Gross density within wards of Jaipur Region for 2001.,"Gross Density, Wards, Jaipur Region 2001",Demographic Profile,master plan map,Jaipur Municipal Corporation Greater (2019),unknown,region,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 4-5, pg.219",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
77,"Literacy, Total And By Sex Or Scheduled Caste","Name  of town, Number of literates and illiterates, Literacy rate and Gap in male-female literacy rate ","literacy, gender, sex, caste",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T23_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
84,"Main, marginal and non-workers by sex","Name of  town, Persons/ Males/ Females, Total population, Main workers, Marginal workers and Non workers (Number & Percentage)","workers, gender, sex",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T32_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
19,Major Settlements Within The Jaipur Region,"Satellite towns located under JDA region, their classification and population based on Census 2001.","Satellite Towns, JDA Region, Census 2001",Demographic Profile,,Jaipur Region,unknown,region,one-time,,2011,open,printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1, Table 3-2, pg. 133",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
72,"Number And Percentage Of Scheduled Castes And Scheduled Tribes Population In Sub-Districts, 2011","Name of Sub-District, Total/ Rural/ Urban, Total population, Total scheduled castes population, Total scheduled tribes population, Percentage of scheduled castes population to total population, Percentage of scheduled tribes population to total population","Scheduled Castes/tribes, Sub-district Demographics",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T13_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
73,"Number And Percentage Of Scheduled Castes And Scheduled Tribes Population In Towns, 2011","Name of town, Total Population, Total scheduled castes population, Total scheduled tribes population, Percentage of scheduled castes population to total population, Percentage of scheduled tribes population to total population","Town Caste, Tribe Population, Urban Demographics",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T17_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
22,Past Trends Of Population In Jaipur Region,Past Trends of Population in JMC and Satellite Towns,"Past Trends, Population, JMC, Satellite Towns",Demographic Profile,L&T Infra Engineering Transport Study,JMC+Satellite towns,unknown,city,one-time,1991,2011,private,printed table,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Table 6-3, pg 6-6",Document not yet published,Not currently available
28,Population And Households,"Jaipur city zone name, wardname, ward no., Area (in sq km), Total Population (in thousands)","population, households",Demographic Profile,Smartcities.gov.in data,Jaipur City,unknown,ward,one-time,,2011,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/demographic-profile-jaipur,Go to source URL
89,"Proportion Of Slum Population In Towns, 2011","Name of the town having slum, Total population , Slum population, Percentage of slum population to total population","Town Slum Statistics, Slum Population Percentage",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T44_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
26,Registered Voters,"Jaipur city zone name, wardname, ward no., Total no. of registered voters, No. of votes polled in the last municipal election, No. of Polling Stations / booths",voters,Demographic Profile,Smartcities.gov.in data,Jaipur City,unknown,ward,one-time,,2019,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/registered-voters-jaipur,Go to source URL
88,"Schools/ Colleges Per 10,000 Population In Towns, 2011","Name of the town, Type of educational institution (Approx. numbers) of Primary, Middle, Secondary / matriculation, Senior secondary, and College","Town Educational Institutions, School and College Distribution",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T42_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
30,Socio-economic Characteristics,"Location code number, District/ CD Block/Town, Total/Rural/Urban, Area in Square Kilometre, Number of households, Total population (including institutional and houseless population in persons,male,female), Population in the age-group 0-6, Scheduled Castes population, Scheduled Tribes population,and Literates","age, sex, literacy, workforce, occupation, employment, industry",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 24-25, pg. 30-31",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
31,Socio-economic Characteristics- industrial category of main workers,"Location code number, District/ CD Block/Town, Total/Rural/Urban for Total workers (Persons, Males, Females), Main worker(Persons, Males, Females), Cultivators, Agricultural labourers, Household industry workers, Other workers","age, sex, literacy, workforce, occupation, employment, industry",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 26-27, pg. 32-33",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
32,Socio-economic Characteristics- industrial category of marginal workers,"Location code number, District/ CD Block/Town, Total/Rural/Urban for Marginal workers(Persons, Males, Females), Cultivators, Agricultural labourers, Household industry workers, Other workers, and Non-workers.","age, sex, literacy, workforce, occupation, employment, industry",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 28-29, pg. 34-35",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
90,Status And Growth History Of Towns In Jaipur,"Class, name and civic status of town, Location Code No., Name of Taluk/ Tahsil/ Police Station/Islands etc., Name of CD block, Area(sq. Km.), Number of households including houseless households (2011 Census), Scheduled Castes Population (2011 Census), Scheduled Tribes Population (2011 Census), Status and Growth History(1901-2011), Density        (2011 Census) and Sex ratio","Town Demographic, Census and Civic Information",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2009,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, Town Statement-I_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
33,Total Sc And St Population - Urban Block Wise,"Location Code, Name of Town, Name of Ward, Boundaries of Urban Block /EB Number, Total Population, Scheduled Castes Population, Scheduled Tribes Population","Urban Block Boundaries, Town and Ward Data, Population Statistics, Scheduled Castes and Tribes, Location Code Information",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg. 38-189",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
63,Urban Pca-Ward Wise Data,"Location code number, Name of Town/ward, Area in Km,Number of households, Total population (including institutional and houseless population), Population in the age-group 0-6, Literates,SC population, ST population, literates","Town/Ward Statistics, Population, Area, SC/ST Demographics",Demographic Profile,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, pg.540-551",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3290/DH_2011_0812_PART_B_DCHB_JAIPUR.pdf,Go to source URL
68,sex ratio,"Sex ratio of towns, 2011","gender, sex, sex ratio",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T08_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
74,sex ratio among scheduled castes and tribes,"Name of town, Scheduled castes sex ratio, Scheduled tribes sex ratio","gender, sex, sex ratio",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T19_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
71,sex ratio of ages 0-6,"Sex ratio of  population in the age group 0-6 of towns, 2011","gender, sex, sex ratio",Demographic Profile,Census handbook,Jaipur District,unknown,cd block / town,one-time,,2011,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, T12_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
98,Industrial Areas Of Riico In Jaipur Region,RIICO industrial zones in Jaipur Region.,"RIICO, Jaipure region",Economy,master plan map,Jaipur Region,unknown,region,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-4, pg. 143",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
95,Market Economies,Annual Income (Rs. in lacs) Main Market /Sub Market from 1999-2000 to 2006-07- Jaipur region,"Annual Income, Main Market/Sub Market, Jaipur Region",Economy,,Jaipur Region,unknown,region,one-time,1999,2007,open,printed table,"Office, Krishi Upaj Mandi, Jaipur.","JDA (2011) Master Development Plan 2025, vol1, Table 3-10, pg.148",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
93,Occupational Structure,"Derived occupational structure from Primary Census Abstract, Census of India, 2001
","Occupational Structure
",Economy,,Jaipur District,unknown,district,one-time,,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-12, pg.59",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
97,Proposed Tourism Circuits In The Jaipur District,Proposed tourism circuits in Jaipur District ,"Tourism, Jaipur district",Economy,master plan map,Jaipur District,unknown,district,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 2-36 , pg. 112",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
96,Socio-Economic Potential,"A socio economic potential map has been arrived at based upon the economic and facility & service potential in the villages. 
",Economic facility,Economy,master plan map,Jaipur District,unknown,district,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 2-17 (pg. 69)",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
99,Tourist Arrivals,Location-wise Tourist Arrival Statistics (in million),"Tourist  Statistics, Location-wise",Economy,L&T Infra Engineering Transport Study,Jaipur Region,unknown,region,one-time,,2016,private,printed table,"Office of statistics, Department of Tourism, Rajasthan","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Table 2-11, p.g 2-25",Document not yet published,Not currently available
94,Workers Profile,"Work Force Participation Rate, Jaipur District, 2001","Work force, Jaipur district",Economy,,Jaipur District,unknown,district,one-time,,2001,open,printed table,"Directorate of Census Operations, Rajasthan","JDA (2011) Master Development Plan 2025, vol1, Table 2-13, Table 2-14, Table 2-15, pg.60-61",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
103,Air Quality (Cpcb),"PM2.5,PM10,NO,NO2,NOx, NH3,SO2, CO, Ozone,Benzene, Toluene, Xylene, O Xylene, Eth-Benzene, MP-Xylene, AT, RH,WS,WD,RF,TOT-RF, SR,BP, VWS for 1day,8hours, 1 hour and 15min time stamps","Air quality, CPCB, PM2.5, PM10, NO2, CO, O3",Environment,,Jaipur Region,Every 15 min,discrete locations,one-time,2017,2023,open,csv,CPCB,"Cental Pollution Control Board (2024) Central Control Room for Air Quality Management, NA",https://airquality.cpcb.gov.in/ccr/#/caaqm-dashboard-all/caaqm-landing/caaqm-data-repository,Go to source URL
101,Air Quality Index (Caaqms),"Levels of PM2.5, PM10, NO2, CO, O3","Air Quality Index, CAAQMS, PM2.5, PM10, NO2, CO, O3",Environment,,CAAQMS Station,Every Year,discrete locations,one-time,2017,2020,open,xls/xlsx,RSPCB,"Rajasthan State Pollution Control Board (2024), NA",https://environment.rajasthan.gov.in/content/environment/en/rajasthan-state-pollution-control-board/EnvironmentalReport/DownloadableAirQualityIndexCAAQMS.html,Go to source URL
105,Climate Outlook Of Jaipur City,Climatic details like Temperature and Rainfall statistics of Jaipur City.,"Climate, Temperature, Rainfall",Environment,master plan data,Jaipur Development Authority (2018),unknown,region,one-time,,2011,open,printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1, Table 3-25, pg.191",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
104,Natural Landscape Jaipur,"Area of natural features like lake,forest,ecologically sensitve area of JDA region","Natural Feature, JDA region",Environment,Smartcities.gov.in data,Jaipur Development Authority (2018),unknown,region,one-time,,2019,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/natural-landscape-jaipur,Go to source URL
102,Noise Quality Bulletin Of Rajasthan State,Decibel levels in different zones,"Noise quality, Rajasthan, decibel levels",Environment,,Jaipur Region,Every Month,discrete locations,one-time,Jan-24,2024,open,printed table,RSPCB,"Rajasthan State Pollution Control Board (2024), NA",https://environment.rajasthan.gov.in/content/environment/en/rajasthan-state-pollution-control-board/NoiseQualityBulletin.html,Go to source URL
106,Open Series Map (Scale: 1:50000),Open series map image in Scale: 1:50000 based on sheet no. (not georeferenced),"open series, map",Environment,,India,unknown,spatial grid,one-time,,2011,open,printed map,Survey of india,"Survey of India (2024) Online Maps Portal, NA",https://onlinemaps.surveyofindia.gov.in/FreeMapSpecification.aspx,Go to source URL
100,"Physical Aspects And Location Of Towns, 2009","Name of town, Physical aspects(Rainfall & Temperature), Name of and road distance (in kms.) from (State HQ, District HQ, Sub-Division/ Taluk/ Tahsil / Police station/ Development  Block/ Island HQ, Nearest city with population of one lakh and more, Nearest city with population of five lakh and more) Railway station and Bus route","Transport Information, Town Connectivity, Climate",Environment,Census handbook,Jaipur District,unknown,district,one-time,,2009,open,xls/xlsx,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, Town Statement-II_0812",https://censusindia.gov.in/nada/index.php/catalog/1069/download/3291/DH_2011_0812-Jaipur.zip,Go to source URL
